"location","context","source","target"
"doc.glossary_of_terms_and_definitions.table_cell.36aee4372b7b","glossary_of_terms_and_definitions|table_cell","Cambridge Dictionary: Intellectu- al property","Cambridge Dictionary: Intellectueel eigendom"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7daa28eaa233","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Referred to as ‘Dimension 3’ in DigComp 2.2. The underlying meaning of proficiency levels, i.e. reflecting a combination of cognitive demand, task complexity and level of autonomy, remains unchanged. Titles of two proficiency levels have changed (Foundation to Basic; Highly Specialised to Highly Advanced) and new\nshort general descriptions of proficiencies at four levels (Basic, Intermediate, Advanced and Highly Advanced) are provided in Table 3. Competence statements in Section 3, which show how the proficiency levels look for each of the 21 competences, are new. Section 2.4.2 (the importance of pre-requisites for Basic-level digital competence) and information in Box 2 (definitions of task and specialised, and explicit distinction between Highly Advanced in DigComp and ICT specialist skills) are new. Table A3 (this Annex) shows how the DigComp 3.0 four-level descriptions can be mapped to the eight levels described in DigComp 2.2, as well as to a six-level system used in some cases.","In DigComp 2.2 aangeduid als 'Dimensie 3'. De onderliggende betekenis van de beheersingsniveaus, d.w.z. het weerspiegelen van een combinatie van cognitieve belasting, taakcomplexiteit en mate van autonomie, blijft onveranderd. De titels van twee beheersingsniveaus zijn gewijzigd (van 'Foundation' naar 'Basic' (Basis); van 'Highly Specialised' naar 'Highly Advanced' (Zeer gevorderd)) en in tabel 3 worden nieuwe korte algemene beschrijvingen van de beheersing op vier niveaus (Basis, Gemiddeld, Gevorderd en Zeer gevorderd) gegeven. De competentieverklaringen in sectie 3, die laten zien hoe de beheersingsniveaus eruitzien voor elk van de 21 competenties, zijn nieuw. Sectie 2.4.2 (het belang van randvoorwaarden voor digitale competentie op basisniveau) en de informatie in kader 2 (definities van 'taak' en 'gespecialiseerd', en het expliciete onderscheid tussen 'Zeer gevorderd' in DigComp en de vaardigheden van ICT-specialisten) zijn nieuw. Tabel A3 (in deze bijlage) laat zien hoe de beschrijvingen van de vier niveaus van DigComp 3.0 kunnen worden gekoppeld aan de acht niveaus beschreven in DigComp 2.2, evenals aan een systeem met zes niveaus dat in sommige gevallen wordt gebruikt."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.5a465a3c16e4","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Examples of knowledge, skills and attitudes","Voorbeelden van kennis, vaardigheden en houding"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.ce1c3c40eb95","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Referred to as ‘Dimension 4’ in DigComp 2.2, not reproduced in DigComp 3.0. DigComp 3.0 uses Dimension 4 as a foundational base from which to build the learning outcomes (see Annex 3 for more details), adding developments that have occurred since DigComp 2.2 was published in 2022.","In DigComp 2.2 aangeduid als 'Dimensie 4'; deze is niet overgenomen in DigComp 3.0. DigComp 3.0 gebruikt Dimensie 4 als fundament waarop de leerresultaten zijn gebouwd (zie bijlage 3 voor meer details), met toevoeging van ontwikkelingen die hebben plaatsgevonden sinds de publicatie van DigComp 2.2 in 2022."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.1d4b8c84fa7f","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Use cases (employment and learning scenarios)","Gebruiksscenario's (werkgelegenheids- en leerscenario's)"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7ae2afd10d44","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Referred to as ‘Dimension 5’ in DigComp 2.2, not reproduced in DigComp 3.0.","In DigComp 2.2 aangeduid als 'Dimensie 5'; deze is niet overgenomen in DigComp 3.0."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.697bf90cb8cb","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence statements","Competentieverklaringen"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.45fc3e639329","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","New to DigComp 3.0 and consisting of short statements for each of the 21 competences at each of the four proficiency levels. Section 2.4 introduces the competence statements and Section 3 shows the competence statements for each of the 21 competences. Competence statements are less ‘granular’ than learning outcomes as they do not distinguish between knowledge, skills and attitudes. However, they nonetheless contain all of the key content of the learning outcomes.","Nieuw in DigComp 3.0 en bestaande uit korte verklaringen voor elk van de 21 competenties op elk van de vier beheersingsniveaus. Sectie 2.4 introduceert de competentieverklaringen en sectie 3 toont de competentieverklaringen voor elk van de 21 competenties. Competentieverklaringen zijn minder 'gedetailleerd' dan leerresultaten, omdat ze geen onderscheid maken tussen kennis, vaardigheden en houding. Ze bevatten echter wel alle kerninhoud van de leerresultaten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.4689757f0c02","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Learning outcomes","Leerresultaten"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.c9cb79f14f41","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","New to DigComp 3.0 and consisting of short statements of knowledge, skills and attitudes for each of the 21 competences at each of the four proficiency levels. Section 2.5 provides an introduction to the learning outcomes. Annex 2 contains the learning outcomes along with information on their features, and practical suggestions for their use.","Nieuw in DigComp 3.0 en bestaande uit korte verklaringen van kennis, vaardigheden en houding voor elk van de 21 competenties op elk van de vier beheersingsniveaus. Sectie 2.5 geeft een inleiding op de leerresultaten. Bijlage 2 bevat de leerresultaten samen met informatie over hun kenmerken en praktische suggesties voor het gebruik ervan."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.d94eec8d72d0","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Glossary","Verklarende woordenlijst"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.617002affe45","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Not a part of the integrated framework as such, the Glossary of Terms and Definitions of DigComp 3.0 has been significantly expanded from the Glossary in DigComp 2.2 to include some 120 terms to support consistent interpretation.","Hoewel geen onderdeel van het geïntegreerde kader als zodanig, is de verklarende woordenlijst van termen en definities van DigComp 3.0 aanzienlijk uitgebreid ten opzichte van de lijst in DigComp 2.2 en bevat deze nu ongeveer 120 termen ter ondersteuning van een consistente interpretatie."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.b09196b3179d","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Source: JRC own elaboration.","Bron: eigen uitwerking JRC."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.6a43344e6dfd","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Table A2 shows all changes to the titles and descriptors of the competence areas and the competences, together with a short rationale for the changes. Deletions are in strikethrough; additions are underlined; rationale is in blue font. The changes are mainly driven by a need to update the language and content of the framework to reflect digital technological developments and priorities which have emerged since DigComp 2.2. Changes are also made for clarity and overall framework consistency. Changes have been reviewed by experts and were subject to stakeholder consultation.","Tabel A2 toont alle wijzigingen in de titels en descriptoren van de competentiegebieden en de competenties, samen met een korte rationale voor de wijzigingen. Verwijderingen zijn doorgehaald; toevoegingen zijn onderstreept; de rationale staat in blauw lettertype. De wijzigingen zijn voornamelijk ingegeven door de noodzaak om de taal en inhoud van het kader te actualiseren om de digitale technologische ontwikkelingen en prioriteiten te weerspiegelen die sinds DigComp 2.2 zijn ontstaan. Er zijn ook wijzigingen aangebracht voor de duidelijkheid en de algemene consistentie van het kader. De wijzigingen zijn beoordeeld door experts en onderworpen aan raadpleging van belanghebbenden."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.95f694cc6dbb","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Table A2. Detailed description of changes made to competence areas and competences in DigComp 3.0 compared with DigComp 2.2, together with rationale - Deletions are in","Tabel A2. Gedetailleerde beschrijving van wijzigingen in competentiegebieden en competenties in DigComp 3.0 vergeleken met DigComp 2.2, samen met de rationale - Verwijderingen zijn"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.93d02dd0b286","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","strikethrough; additions are underlined; rationale is in blue font.","doorgehaald; toevoegingen zijn onderstreept; de rationale staat in blauw lettertype."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7bd3ac547d13","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence area and description","Competentiegebied en beschrijving"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.222e9b13ac95","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence and descriptor","Competentie en descriptor"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9e880f42e629","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1. Information search, evaluation and management literacy\nRationale: The competence area title is re-named to more closely reflect what it covers.\nTo articulate information needs, and to search for, locate and retrieve digital data, information and content. To judge the relevance of the source and its content in digital environments. To critically evaluate digital sources, content, and processes used to generate them. To store, manage, and organise and analyse digital data, information and content data.\nRationale: The description is expanded from judging relevance to critical evaluation of sources, content and information generation processes, due to proliferation of AI systems and increased range of search options and services in digital environments. Analysis is added as a relevant aspect of this competence area.","1. Geletterdheid op het gebied van zoeken, evalueren en beheren van informatie\nRationale: De titel van het competentiegebied is hernoemd om beter weer te geven wat het omvat.\nInformatiebehoeften formuleren en digitale gegevens, informatie en inhoud zoeken, lokaliseren en ophalen. De relevantie van de bron en de inhoud ervan in digitale omgevingen beoordelen. Digitale bronnen, inhoud en processen die worden gebruikt om deze te genereren, kritisch evalueren. Digitale gegevens, informatie en inhoud opslaan, beheren, organiseren en analyseren.\nRationale: De beschrijving is uitgebreid van het beoordelen van relevantie naar kritische evaluatie van bronnen, inhoud en processen voor informatiegeneratie, als gevolg van de verspreiding van AI-systemen en het toegenomen scala aan zoekopties en diensten in digitale omgevingen. Analyse is toegevoegd als een relevant aspect van dit competentiegebied."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.702d8d2fbe04","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1.1 Browsing, searching and filtering data, information and digital content\nRationale: Data, information and digital content is simplified to information – information being the umbrella term which also includes data and content.\nTo articulate information needs, to know how and where to search for data, information and content in digital environments, and to access them and to navigate between them. To select appropriate digital tools to create, implement and update personal search strategies searches in digital environments and to be able to distinguish between relevant and irrelevant information and content.\nRationale: knowing how and where to search reflects the range of search services/options as well as the application of an appropriate approach. Selection of appropriate tools is a relevant aspect of this competence. Search implementation is an important aspect of searching. Personal is omitted as some searches may be for other purposes. Recognising (and discarding) irrelevant information is a relevant aspect of this competence.","1.1 Bladeren, zoeken en filteren van gegevens, informatie en digitale inhoud\nRationale: Gegevens, informatie en digitale inhoud is vereenvoudigd tot informatie – waarbij informatie de overkoepelende term is die ook gegevens en inhoud omvat.\nInformatiebehoeften formuleren, weten hoe en waar te zoeken naar gegevens, informatie en inhoud in digitale omgevingen, en hiertoe toegang krijgen en ertussen navigeren. Geschikte digitale hulpmiddelen selecteren om zoekopdrachten in digitale omgevingen te maken, uit te voeren en bij te werken en in staat zijn om onderscheid te maken tussen relevante en irrelevante informatie en inhoud.\nRationale: weten hoe en waar te zoeken weerspiegelt het scala aan zoekdiensten/-opties en de toepassing van een passende aanpak. De selectie van passende hulpmiddelen is een relevant aspect van deze competentie. De uitvoering van zoekopdrachten is een belangrijk aspect van het zoeken. 'Persoonlijk' is weggelaten omdat sommige zoekopdrachten voor andere doeleinden kunnen zijn. Het herkennen (en verwerpen) van irrelevante informatie is een relevant aspect van deze competentie."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9e880f42e629.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1. Information search, evaluation and management literacy\nRationale: The competence area title is re-named to more closely reflect what it covers.\nTo articulate information needs, and to search for, locate and retrieve digital data, information and content. To judge the relevance of the source and its content in digital environments. To critically evaluate digital sources, content, and processes used to generate them. To store, manage, and organise and analyse digital data, information and content data.\nRationale: The description is expanded from judging relevance to critical evaluation of sources, content and information generation processes, due to proliferation of AI systems and increased range of search options and services in digital environments. Analysis is added as a relevant aspect of this competence area.","1. Geletterdheid op het gebied van zoeken, evalueren en beheren van informatie\nRationale: De titel van het competentiegebied is hernoemd om beter weer te geven wat het omvat.\nInformatiebehoeften formuleren en digitale gegevens, informatie en inhoud zoeken, lokaliseren en ophalen. De relevantie van de bron en de inhoud ervan in digitale omgevingen beoordelen. Digitale bronnen, inhoud en processen die worden gebruikt om deze te genereren, kritisch evalueren. Digitale gegevens, informatie en inhoud opslaan, beheren, organiseren en analyseren.\nRationale: De beschrijving is uitgebreid van het beoordelen van relevantie naar kritische evaluatie van bronnen, inhoud en processen voor informatiegeneratie, als gevolg van de verspreiding van AI-systemen en het toegenomen scala aan zoekopties en diensten in digitale omgevingen. Analyse is toegevoegd als een relevant aspect van dit competentiegebied."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.54e580b45e6c","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1.2 Evaluating data, information and digital content\nRationale: Data, information and digital content is simplified to information – information being the umbrella term which also includes data and content.\nTo analyse, assess and compare and critically evaluate the credibility and reliability of sources of data, information and digital content in digital environments. To analyse, interpret and critically evaluate data, information and digital content in digital environments, and the processes used to generate them.\nRationale: assess and compare replaces analyse, compare and critically evaluate to better distinguish between the processes of evaluating the source of information and content (first sentence) and the information and content itself (second sentence). The addition of processes used to generate them is consistent with the Area 1 description. Analyse is removed to avoid overlap with Competence 1.3.","1.2 Evalueren van gegevens, informatie en digitale inhoud\nRationale: Gegevens, informatie en digitale inhoud is vereenvoudigd tot informatie – waarbij informatie de overkoepelende term is die ook gegevens en inhoud omvat.\nDe geloofwaardigheid en betrouwbaarheid van bronnen van informatie en inhoud in digitale omgevingen beoordelen en vergelijken. Informatie en inhoud in digitale omgevingen, en de processen die worden gebruikt om deze te genereren, interpreteren en kritisch evalueren.\nRationale: 'beoordelen en vergelijken' vervangt 'analyseren, vergelijken en kritisch evalueren' om een beter onderscheid te maken tussen de processen van het evalueren van de bron van informatie en inhoud (eerste zin) en de informatie en inhoud zelf (tweede zin). De toevoeging van 'de processen die worden gebruikt om deze te genereren' is consistent met de beschrijving van Gebied 1. 'Analyseren' is verwijderd om overlap met competentie 1.3 te voorkomen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9e880f42e629.2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1. Information search, evaluation and management literacy\nRationale: The competence area title is re-named to more closely reflect what it covers.\nTo articulate information needs, and to search for, locate and retrieve digital data, information and content. To judge the relevance of the source and its content in digital environments. To critically evaluate digital sources, content, and processes used to generate them. To store, manage, and organise and analyse digital data, information and content data.\nRationale: The description is expanded from judging relevance to critical evaluation of sources, content and information generation processes, due to proliferation of AI systems and increased range of search options and services in digital environments. Analysis is added as a relevant aspect of this competence area.","1. Geletterdheid op het gebied van zoeken, evalueren en beheren van informatie\nRationale: De titel van het competentiegebied is hernoemd om beter weer te geven wat het omvat.\nInformatiebehoeften formuleren en digitale gegevens, informatie en inhoud zoeken, lokaliseren en ophalen. De relevantie van de bron en de inhoud ervan in digitale omgevingen beoordelen. Digitale bronnen, inhoud en processen die worden gebruikt om deze te genereren, kritisch evalueren. Digitale gegevens, informatie en inhoud opslaan, beheren, organiseren en analyseren.\nRationale: De beschrijving is uitgebreid van het beoordelen van relevantie naar kritische evaluatie van bronnen, inhoud en processen voor informatiegeneratie, als gevolg van de verspreiding van AI-systemen en het toegenomen scala aan zoekopties en diensten in digitale omgevingen. Analyse is toegevoegd als een relevant aspect van dit competentiegebied."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.d265d55cf8fe","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","1.3 Managing data, information and digital content\nRationale: Data, information and digital content is simplified to information – information being the umbrella term which also includes data and content.\nTo organise, store and retrieve data, information and content data in digital environments. To collect, organise, process and analyse them in a structured environment information and data in structured digital environments.\nRationale: Minor adjustments are made to wording for clarity and consistency. Analyse is added as it is part of this competence (and removed from Competence 1.2).","1.3 Beheren van gegevens, informatie en digitale inhoud\nRationale: Gegevens, informatie en digitale inhoud is vereenvoudigd tot informatie – waarbij informatie de overkoepelende term is die ook gegevens en inhoud omvat.\nInformatie en gegevens in digitale omgevingen organiseren, opslaan en ophalen. Informatie en gegevens verzamelen, verwerken en analyseren in gestructureerde digitale omgevingen.\nRationale: Kleine aanpassingen in de formulering voor meer duidelijkheid en consistentie. 'Analyseren' is toegevoegd omdat het deel uitmaakt van deze competentie (en verwijderd uit competentie 1.2)."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7bd3ac547d13.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence area and description","Competentiegebied en beschrijving"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.222e9b13ac95.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence and descriptor","Competentie en descriptor"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a919b3085de8","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2. Communication and collaboration\nTo interact, share, communicate and collaborate through digital technologies in digital environments while being aware of cultural,\nand generational and other diversity and the features and limitations of digital technologies. To participate in society through public and private digital services and\nparticipatory citizenship digital technologies. To assert one’s rights and exercise choice\nin digital environments. To manage one’s digital presence, identity and reputation.\nRationale: Share is added to provide a complete description of this competence area.\nFeatures and limitations of digital technologies is added to convey the importance\nof informed usage. Public and private digital services and participatory citizenship is replaced with simpler wording. Other diversity is included as diversity may not solely be related to cultural or generational differences.\nAssertion of choice and exercising of rights are relevant to this competence, particularly in response to algorithmic personalisation and related features of commercial digital\nplatforms and services.","2. Communicatie en samenwerking\nInteractie aangaan, delen, communiceren en samenwerken via digitale technologieën in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Deelnemen aan de samenleving via digitale technologieën. Rechten doen gelden en keuzes maken in digitale omgevingen. De eigen digitale aanwezigheid, identiteit en reputatie beheren.\nRationale: 'Delen' is toegevoegd om een volledige beschrijving van dit competentiegebied te geven. 'Kenmerken en beperkingen van digitale technologieën' is toegevoegd om het belang van geïnformeerd gebruik over te dragen. 'Publieke en private digitale diensten en participatief burgerschap' is vervangen door een eenvoudigere formulering. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen. Het opeisen van keuzemogelijkheden en het uitoefenen van rechten zijn relevant voor deze competentie, met name als reactie op algoritmische personalisering en gerelateerde kenmerken van commerciële digitale platforms en diensten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.4e741155d432","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2.1 Interacting through and with digital technologies\nRationale: Individuals interact with one another through digital technologies, as well as with digital technologies themselves, e.g. AI systems.\nTo interact through and with a variety of digital technologies, and to understand use appropriate digital communication means for a given context.\nRationale: Individuals interact with one another through digital technologies, as well as with digital technologies themselves, e.g. AI systems. Use rather than understand to convey a greater sense of agency.","2.1 Interageren via en met digitale technologieën\nRationale: Individuen hebben interactie met elkaar via digitale technologieën, maar ook met de digitale technologieën zelf, bijv. AI-systemen.\nInterageren via en met een verscheidenheid aan digitale technologieën, en passende digitale communicatiemiddelen gebruiken voor een gegeven context.\nRationale: Individuen hebben interactie met elkaar via digitale technologieën, maar ook met de digitale technologieën zelf, bijv. AI-systemen. 'Gebruiken' in plaats van 'begrijpen' om een groter gevoel van zelfsturing over te dragen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a919b3085de8.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2. Communication and collaboration\nTo interact, share, communicate and collaborate through digital technologies in digital environments while being aware of cultural,\nand generational and other diversity and the features and limitations of digital technologies. To participate in society through public and private digital services and\nparticipatory citizenship digital technologies. To assert one’s rights and exercise choice\nin digital environments. To manage one’s digital presence, identity and reputation.\nRationale: Share is added to provide a complete description of this competence area.\nFeatures and limitations of digital technologies is added to convey the importance\nof informed usage. Public and private digital services and participatory citizenship is replaced with simpler wording. Other diversity is included as diversity may not solely be related to cultural or generational differences.\nAssertion of choice and exercising of rights are relevant to this competence, particularly in response to algorithmic personalisation and related features of commercial digital\nplatforms and services.","2. Communicatie en samenwerking\nInteractie aangaan, delen, communiceren en samenwerken via digitale technologieën in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Deelnemen aan de samenleving via digitale technologieën. Rechten doen gelden en keuzes maken in digitale omgevingen. De eigen digitale aanwezigheid, identiteit en reputatie beheren.\nRationale: 'Delen' is toegevoegd om een volledige beschrijving van dit competentiegebied te geven. 'Kenmerken en beperkingen van digitale technologieën' is toegevoegd om het belang van geïnformeerd gebruik over te dragen. 'Publieke en private digitale diensten en participatief burgerschap' is vervangen door een eenvoudigere formulering. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen. Het opeisen van keuzemogelijkheden en het uitoefenen van rechten zijn relevant voor deze competentie, met name als reactie op algoritmische personalisering en gerelateerde kenmerken van commerciële digitale platforms en diensten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.f0edcb035aa5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2.2 Sharing through digital technologies\nTo share data, information and content ethically and responsibly with others through appropriate digital technologies. To act as an intermediary, to know about referencing and attribution practices.\nRationale: Reference to data is removed to avoid overlap with Competence 4.2. Ethically and responsibly is added to signal the importance of ethical and responsible sharing for oneself and others. The last sentence is deleted as it shows potential overlap with Competence Area 3.","2.2 Delen via digitale technologieën\nInformatie en inhoud ethisch en verantwoord delen met anderen via passende digitale technologieën.\nRationale: De verwijzing naar gegevens is verwijderd om overlap met competentie 4.2 te voorkomen. 'Ethisch en verantwoord' is toegevoegd om het belang van ethisch en verantwoord delen voor zichzelf en anderen te benadrukken. De laatste zin is verwijderd omdat deze mogelijke overlap vertoont met competentiegebied 3."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a919b3085de8.2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2. Communication and collaboration\nTo interact, share, communicate and collaborate through digital technologies in digital environments while being aware of cultural,\nand generational and other diversity and the features and limitations of digital technologies. To participate in society through public and private digital services and\nparticipatory citizenship digital technologies. To assert one’s rights and exercise choice\nin digital environments. To manage one’s digital presence, identity and reputation.\nRationale: Share is added to provide a complete description of this competence area.\nFeatures and limitations of digital technologies is added to convey the importance\nof informed usage. Public and private digital services and participatory citizenship is replaced with simpler wording. Other diversity is included as diversity may not solely be related to cultural or generational differences.\nAssertion of choice and exercising of rights are relevant to this competence, particularly in response to algorithmic personalisation and related features of commercial digital\nplatforms and services.","2. Communicatie en samenwerking\nInteractie aangaan, delen, communiceren en samenwerken via digitale technologieën in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Deelnemen aan de samenleving via digitale technologieën. Rechten doen gelden en keuzes maken in digitale omgevingen. De eigen digitale aanwezigheid, identiteit en reputatie beheren.\nRationale: 'Delen' is toegevoegd om een volledige beschrijving van dit competentiegebied te geven. 'Kenmerken en beperkingen van digitale technologieën' is toegevoegd om het belang van geïnformeerd gebruik over te dragen. 'Publieke en private digitale diensten en participatief burgerschap' is vervangen door een eenvoudigere formulering. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen. Het opeisen van keuzemogelijkheden en het uitoefenen van rechten zijn relevant voor deze competentie, met name als reactie op algoritmische personalisering en gerelateerde kenmerken van commerciële digitale platforms en diensten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.6b191a6c80f0","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2.3 Engaging in citizenship through digital technologies\nTo participate in society through the ethical and responsible use of public and private digital platforms and services. To seek opportunities for self-empowerment and participatory citizenship participation through appropriate digital technologies. To be aware of and assert one’s rights, and to exercise choice, in digital environments.\nRationale: The reference to public and private digital services is replaced with the more general term, digital platforms and services. The reference to participatory citizenship is replaced with the more concrete term, participation. Assertion of rights is an important part of digital competence under European digital legislation. Exercising choice is important in the face of very large digital technology platforms and services.","2.3 Participeren in de samenleving via digitale technologieën\nDeelnemen aan de samenleving door het ethisch en verantwoord gebruik van digitale platforms en diensten. Kansen zoeken voor zelfontwikkeling en participatie via passende digitale technologieën. Bewust zijn van en doen gelden van de eigen rechten, en keuzes maken in digitale omgevingen.\nRationale: De verwijzing naar publieke en private digitale diensten is vervangen door de algemenere term 'digitale platforms en diensten'. De verwijzing naar participatief burgerschap is vervangen door de concretere term 'participatie'. Het opeisen van rechten is een belangrijk onderdeel van digitale competentie onder de Europese digitale wetgeving. Het maken van keuzes is belangrijk gezien de invloed van zeer grote digitale technologieplatforms en -diensten."
