"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.2963b034a2a0","annexes.a2.3_learning_outcomes|table_cell","Help others to develop capabilities to critically evaluate information and content in digital environments.","Anderen helpen bij het ontwikkelen van vaardigheden om informatie en inhoud in digitale omgevingen kritisch te evalueren."
"doc.annexes.a2.3_learning_outcomes.table_cell.4feaea0c818b","annexes.a2.3_learning_outcomes|table_cell","Systematically develop and progressively refine questions, commands or statements (prompts) for AI systems to handle complex digital interactions.","Systematisch vragen, commando's of verklaringen (prompts) ontwikkelen en progressief verfijnen voor AI-systemen om complexe digitale interacties af te handelen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.22","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.42","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.14","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.895e7d87d4d9","annexes.a2.3_learning_outcomes|table_cell","LO2.1.25","LO2.1.25"
"doc.annexes.a2.3_learning_outcomes.table_cell.bc200d83ebfd","annexes.a2.3_learning_outcomes|table_cell","Assess benefits and disadvantages of robotic applications in a specific context.","Voordelen en nadelen van robottoepassingen in een specifieke context beoordelen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.23","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.43","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.71","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.071369d92e8b","annexes.a2.3_learning_outcomes|table_cell","LO2.1.26","LO2.1.26"
"doc.annexes.a2.3_learning_outcomes.table_cell.06b054ffe562","annexes.a2.3_learning_outcomes|table_cell","Assist others to assess and select suitable digital communication tools for a given purpose.","Anderen helpen bij het beoordelen en selecteren van geschikte digitale communicatiemiddelen voor een bepaald doel."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.24","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.44","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.72","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.819ebce44af2","annexes.a2.3_learning_outcomes|table_cell","LO2.1.27","LO2.1.27"
"doc.annexes.a2.3_learning_outcomes.table_cell.f2105068fa29","annexes.a2.3_learning_outcomes|table_cell","Organise and/or moderate complex digital events.","Complexe digitale evenementen organiseren en/of modereren."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.25","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.45","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.73","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8ae1b3f90ea6","annexes.a2.3_learning_outcomes|table_cell","LO2.1.28","LO2.1.28"
"doc.annexes.a2.3_learning_outcomes.table_cell.afb7b9227931","annexes.a2.3_learning_outcomes|table_cell","Stay informed about developments in digital communication and interaction tools and methods.","Op de hoogte blijven van ontwikkelingen in digitale communicatie- en interactiemiddelen en -methoden."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.15","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.18","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.74","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f579d81b5803","annexes.a2.3_learning_outcomes|table_cell","LO2.1.29","LO2.1.29"
"doc.annexes.a2.3_learning_outcomes.table_cell.1a4c0225d2a5","annexes.a2.3_learning_outcomes|table_cell","Assess and combine digital communication and interaction tools for highly complex or novel tasks.","Digitale communicatie- en interactiemiddelen beoordelen en combineren voor zeer complexe of nieuwe taken."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.16","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.46","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.75","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.bb0ddfef47cc","annexes.a2.3_learning_outcomes|table_cell","LO2.1.30","LO2.1.30"
"doc.annexes.a2.3_learning_outcomes.table_cell.f09d400f78fb","annexes.a2.3_learning_outcomes|table_cell","Provide guidance, support or leadership in the advanced use of digital communication and interaction tools.","Begeleiding, ondersteuning of leiderschap bieden bij het geavanceerde gebruik van digitale communicatie- en interactiemiddelen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.17","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.47","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.76","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.38fcfe6b8c20","annexes.a2.3_learning_outcomes|table_cell","LO2.1.31","LO2.1.31"
"doc.annexes.a2.3_learning_outcomes.table_cell.7dafaf65409f","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to improvements in or new solutions for digital communication or human-machine interaction.","Leiding geven aan of bijdragen aan verbeteringen in of nieuwe oplossingen voor digitale communicatie of mens-machine-interactie."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.18","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.48","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.77","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b36fc7a10c16","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.2 Sharing through digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.2 Delen via digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.b36fc7a10c16.1","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.2 Sharing through digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.2 Delen via digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.b36fc7a10c16.2","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.2 Sharing through digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.2 Delen via digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.b36fc7a10c16.3","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.2 Sharing through digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.2 Delen via digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.b36fc7a10c16.4","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.2 Sharing through digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.2 Delen via digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.4","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.4","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.4","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Beheersingsniveau"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.4","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.4","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.48f52cbcaa69","annexes.a2.3_learning_outcomes|table_cell","LO2.2.01","LO2.2.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.97c933606dfe","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of ethical and responsible sharing of information and content in digital environments.","Het belang erkennen van ethisch en verantwoord delen van informatie en inhoud in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.30","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.19","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.78","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.68de3ab8f002","annexes.a2.3_learning_outcomes|table_cell","LO2.2.02","LO2.2.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.279ae19b3beb","annexes.a2.3_learning_outcomes|table_cell","Recognise benefits and risks of sharing information and content in digital environments.","Voordelen en risico's herkennen van het delen van informatie en inhoud in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.31","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.50","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.79","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9dd157781ecc","annexes.a2.3_learning_outcomes|table_cell","LO2.2.03","LO2.2.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.c52880139241","annexes.a2.3_learning_outcomes|table_cell","Identify functions and uses of social media, and examples of common social media platforms.","Functies en toepassingen van sociale media en voorbeelden van gangbare sociale-mediaplatforms identificeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.32","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.51","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.80","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.4a93e05f914a","annexes.a2.3_learning_outcomes|table_cell","LO2.2.04","LO2.2.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c8c2609febe","annexes.a2.3_learning_outcomes|table_cell","Recognise that individuals can choose how and what they would like to share through digital technologies.","Herkennen dat individuen kunnen kiezen hoe en wat ze via digitale technologieën willen delen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.33","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.52","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.25","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.3c227daa00b5","annexes.a2.3_learning_outcomes|table_cell","LO2.2.05","LO2.2.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.b155a2a98aea","annexes.a2.3_learning_outcomes|table_cell","Recognise that information and content - not all of which is true or accurate - can be shared in a variety of ways by AI systems as well as humans.","Herkennen dat informatie en inhoud — waarvan niet alles waar of nauwkeurig is — op verschillende manieren kan worden gedeeld door zowel AI-systemen als mensen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.34","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.53","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.15","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e0269a613997","annexes.a2.3_learning_outcomes|table_cell","LO2.2.06","LO2.2.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.a5fc54f473d1","annexes.a2.3_learning_outcomes|table_cell","Identify purpose and target audience of information and content to be shared in digital environments.","Doel en doelgroep identificeren van informatie en inhoud die in digitale omgevingen moet worden gedeeld."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.35","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.54","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.26","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8c76533ea083","annexes.a2.3_learning_outcomes|table_cell","LO2.2.07","LO2.2.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.eb0affa97c0f","annexes.a2.3_learning_outcomes|table_cell","Use simple processes to share information and content in digital environments appropriately and in accordance with goals.","Eenvoudige processen gebruiken om informatie en inhoud in digitale omgevingen op gepaste wijze en in overeenstemming met de doelen te delen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.36","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
